userid,movieid
12114,4886 2278 1199 1223 6377 16 8874 33493 2105 5459 2 1233 2058 7143 235 7254 337 509 1175 3717
12115,8360 2011 5816 2012 33493 8368 7153 1997 40815 5299 32587 1219 30793 3753 7458 41566 45499 8970 3081 3994
4250,551 3317 1302 1252 1225 8970 39183 2915 8958 36529 1230 2427 6323 7373 5954 2712 6565 40278 40815 56174
5092,1304 1204 6711 1282 3751 2692 1028 2542 1641 1203 5060 1729 4034 1278 1230 4995 2078 3160 4848 8360
12267,6377 1682 1653 474 3052 4085 3114 16 1407 1732 40815 4034 508 1259 3175 3033 145 1722 4720 58559
12289,7438 1206 2706 4973 48516 1732 3147 1258 3623 6016 2712 1676 5418 4034 6365 33794 49272 4022 4262 1682
12367,1080 1079 1223 30749 30707 3114 5669 2324 6218 8970 1230 33166 1307 923 1278 8464 7147 6016 1394 1247
4730,5618 8961 720 7153 778 1079 32587 33794 3000 6807 3751 1641 1199 46578 1732 8874 1206 2542 7438 2692
12370,1307 2502 4963 4995 5989 8784 8636 5349 1259 8665 44191 33166 1380 2248 1035 6874 5445 1028 2355 5299
9475,4011 4027 2542 1080 4848 2115 1653 2918 1997 8622 48516 44191 2700 2174 2916 1225 46578 30707 2987 16
12404,551 3052 2161 8644 2617 3489 1407 6373 8798 3421 33004 1220 3785 1921 3703 2194 8665 2085 2761 2105
12530,32587 6016 48394 48780 7438 6874 58559 555 33794 48385 508 3160 49530 1246 44199 265 4034 39183 1208 40819
12542,2599 1207 1961 2804 2054 4886 3052 1732 520 2329 2302 908 2572 2115 32587 1208 8949 904 7147 4979
8223,1961 2291 33166 2353 3176 2336 46578 30749 5299 1094 1088 5669 2023 1293 3448 1282 920 3148 6218 39183
12652,6539 8961 2329 4995 5445 5618 1258 4011 2502 8360 4034 8784 4979 1961 5902 3481 5995 44191 1732 3160
492,"I n t 6 4 I n d e x ( [   4 9 0 3 ,     1 3 5 8 ,     7 1 6 0 ,     5 9 9 1 ,     5 3 8 8 ,     5 4 6 4 ,     3 4 5 0 ,     1 8 3 5 ,     5 0 1 3 , 
                           5 5 2 8 ,     5 2 2 5 ,     4 9 9 5 ,     5 7 9 1 ,     1 9 2 3 ,   4 6 7 2 3 ,     5 9 9 2 ,     5 0 1 0 ,     2 9 0 8 , 
                             5 5 2 ,     2 3 4 0 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
12676,1258 44191 7361 6333 3052 2700 1748 2291 1573 4973 1917 4995 8961 6016 7254 1517 2232 1645 2502 1090
5077,3897 1307 2355 1748 2671 1777 1376 8368 1358 5502 3911 2302 1676 3255 1302 1101 62 5464 2640 5995
12723,49272 44191 5989 1148 1028 56367 745 7147 4995 30707 48385 2078 44195 46976 1282 2080 47610 6711 40819 30749
12761,3897 3147 2268 4886 3052 508 1022 2302 1639 4973 2080 8360 1208 778 1282 1673 11 1032 30707 5378
12801,3000 2174 1921 2329 2455 2968 2288 8961 1356 30793 41569 59315 5971 3535 2657 37733 1288 1641 1374 8798
12842,2692 48394 33794 16 1246 5995 1079 1263 4022 3052 6807 2324 30707 2115 58559 5418 4235 3081 6377 6953
9494,5989 5502 5218 1246 7147 350 48774 4973 1917 48394 1183 2353 6016 54286 44665 1732 55820 44199 4310 44195
12859,7361 4878 1748 5418 3114 1148 2021 1199 48516 2640 8665 34405 745 1320 3471 48780 7147 2355 1375 2140
9723,6539 3948 1302 62 4878 1288 1370 1307 3052 551 2406 2302 2353 3481 2081 300 3360 2529 3623 1262
12967,4995 7153 4027 4034 1304 4963 7361 5445 4246 8961 1234 3408 4014 1307 4896 1225 5349 4979 5669 2692
13027,2115 3671 4022 1225 1682 2406 2502 3499 1304 3360 4027 778 5060 3098 553 1276 1231 337 3481 1407
13141,1259 1358 4011 6870 4973 337 30707 551 1266 1641 3147 6863 8376 4848 912 1610 1220 8665 3176 56367
13144,8360 3147 2115 2987 1610 1784 5299 2502 1573 1356 104 2353 1968 7361 2916 2291 2268 1387 1370 2000
13153,778 1732 1997 3471 2542 2944 1954 1148 5669 1263 8874 1573 2278 745 353 2232 4848 3949 555 2019
13159,33166 44195 48385 34405 1608 55765 2890 1127 53972 34319 3081 4370 8984 1748 4270 2791 2194 45447 4701 53125
13232,1148 3671 913 903 3421 745 1262 2797 2366 1394 1282 2761 3039 1953 1223 720 1267 1207 1242 1129
13238,1259 1246 1304 1250 1302 1307 750 3033 2947 3471 2987 1266 2640 1278 3210 953 1641 1207 440 1500
13294,2640 1997 1259 3147 5418 2871 4011 3702 1333 1242 33493 3703 2542 1287 1035 6502 2302 1994 908 3481
13299,2692 6016 1258 2329 8961 2291 4011 4886 5995 4995 912 2324 1201 4979 6807 1079 3160 4034 3481 3000
13332,1080 1653 32587 1584 44191 1573 4973 1127 1690 741 4370 6807 4878 5502 1274 1544 7373 4995 4027 49272
13339,4011 7438 3949 6333 3481 7361 4034 6365 8961 2502 6807 6711 33794 4995 3994 1201 4979 8636 1079 7147
13342,8665 54286 48774 58559 5418 56367 4973 5989 35836 1961 4963 51255 8970 1208 5445 46976 8874 6365 49530 8784
13363,1307 1500 1080 2321 3421 1207 5377 1674 7153 5060 2355 1380 3253 1333 3363 2300 1244 899 3317 1246
13453,1201 1408 1608 5218 5010 2542 4571 4223 1954 1242 2294 3107 553 1127 1777 1396 4718 2054 3175 1748
13512,1225 1374 1222 8636 6333 2321 4022 1304 1917 5816 440 7438 1376 2470 17 1206 3671 1201 555 368
13518,1228 4084 2366 4643 1274 741 3107 3000 1084 5015 300 1348 8917 3104 1183 1059 3683 3763 7160 4446
13521,7361 6016 4878 2692 5618 48394 1732 3160 46578 1225 30707 1148 58559 750 2115 56367 3081 30749 6502 1921
13584,1394 2268 4027 4973 1625 2167 1148 3671 1917 2617 1129 440 553 2329 1257 1777 1234 6377 4896 3897
13600,6377 551 48516 8874 2706 7361 8644 5989 48394 3147 2791 7147 7143 3081 41569 54503 6378 1220 33679 5618
13639,778 6016 2692 8622 4011 6502 4027 2324 1732 8464 33166 8874 48516 3160 30707 4014 8784 8949 1641 6870
13678,750 4878 1206 5902 1222 5669 4979 908 33166 2019 2329 3160 1219 1961 3481 32587 5989 1258 1228 33794
13684,33166 54286 8665 30749 32587 5418 50872 40815 5989 51662 8368 2502 6711 51255 49530 2706 2355 1961 4963 54503
13711,6377 1641 1208 1220 2355 1234 7361 912 5989 1246 4034 1304 2918 3897 3471 5816 1250 5060 3671 8636
6578,914 3967 2243 1220 1292 1188 2300 916 5418 2599 1172 3148 8970 3037 3147 30707 3504 1296 1287 2078
13773,7438 2692 48394 30707 49272 4262 30749 48385 4235 58559 1729 39183 36529 40819 44199 5673 1673 3176 1625 30812
13851,1258 4262 2353 1653 2502 555 48385 7361 368 54286 8644 46578 1215 35836 2023 5956 1263 8957 34048 5669
13878,6711 1222 7438 32587 2700 33166 5989 5669 2542 2599 2174 44191 8961 508 3176 3114 1639 49272 44195 7147
13965,4027 5013 1284 926 899 1296 3160 2021 6711 1945 2739 1635 2160 3083 1967 4641 1275 3260 4085 2641
13986,6874 8665 7438 54286 33166 7143 4995 48394 8798 6378 41569 49530 2797 2791 1258 41566 3275 5010 50872 1968
14007,1206 2011 3033 1215 1258 4878 1356 32587 1573 3147 4262 16 1645 2174 2918 3081 1090 3949 1374 2791
14024,1247 1207 1259 2115 11 4886 3114 2291 7153 838 261 337 2406 1302 2355 1947 3408 1304 1682 4308
14027,1084 1231 1653 1954 3418 7153 1256 3362 1060 471 902 1086 1272 1466 1245 2313 1258 4963 2944 3176
14134,4995 4963 2012 2011 6874 8961 3114 5418 1307 2916 3408 3751 7438 2081 1641 1517 4308 1370 1079 1225
14170,7153 6539 6377 5349 5418 1653 8961 4973 8636 8360 6874 33794 4896 8665 5816 2329 8368 7438 1625 5378
14172,6874 1259 4878 1222 2395 3897 1641 1266 1201 1285 3114 6016 1234 904 3671 1682 2700 497 1127 2291
14247,49272 778 54286 5418 8665 5445 34405 8798 49530 54272 4262 52973 1884 50872 1645 5502 41997 6537 30707 34319
12056,912 923 1234 1247 1206 1233 1090 1079 1278 908 1080 1293 1222 1394 1219 1387 953 1263 1220 1961
818,"I n t 6 4 I n d e x ( [ 4 4 1 9 1 ,     1 4 8 5 ,     2 3 2 1 ,     2 3 2 9 ,       9 1 2 ,     6 8 0 7 ,     3 4 8 1 ,   3 0 8 1 0 ,     4 9 9 5 , 
                           1 3 8 7 ,     5 6 6 9 ,     8 6 2 2 ,   4 8 7 7 4 ,     1 0 7 9 ,   3 0 8 1 2 ,   5 4 5 0 3 ,     5 9 4 5 ,     3 1 7 4 , 
                           1 2 4 6 ,       2 8 8 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
14306,1262 1028 1035 1242 2948 2949 1272 1250 2763 1201 3104 3175 5989 1231 3623 1275 5816 1544 552 3702
14415,1485 1090 1222 1387 2353 1917 3421 785 2599 778 2291 1242 3052 3623 1500 5010 30707 3256 1663 3755
14503,6874 7438 6333 5445 44191 4963 7147 2329 5218 5989 2291 6934 45722 49272 7143 2355 1961 48516 7090 3147
14520,104 2011 2012 750 1302 3255 1485 1777 2797 1784 2706 1278 1288 1394 216 1500 3210 1396 1234 1246
2215,8360 912 2918 4014 2355 8784 1028 7147 33166 6365 8644 1682 54286 2987 708 3623 2011 6934 44195 899
3549,553 47610 3255 1257 45499 40815 2076 8368 4447 3273 6947 2581 3450 2313 2826 1909 2371 4025 2501 529
14586,4886 5816 3114 3175 2406 5418 3624 5218 1242 11 353 5459 4701 4085 2124 4571 8665 1378 4367 2405
14602,2599 4034 6870 2076 750 3897 1673 1953 6620 1095 5995 4027 46578 5225 33166 555 2973 5945 30749 8622
14619,2502 4963 2291 4896 2987 5816 8368 1682 7147 5418 6365 5989 4027 1732 1777 104 596 2078 2 5378
14650,5445 44191 32587 33493 33166 923 7147 2791 3052 1206 1610 2700 44195 51662 30707 5378 30749 34162 2710 1374
14687,4011 2268 1552 2058 1266 4239 2167 3617 1639 48780 4344 1061 805 5266 1343 2194 1092 6934 3256 2580
4235,6539 6016 8636 745 45722 778 1080 2329 5418 55820 50872 5669 48385 8665 2324 54286 7090 6333 30749 1219
1976,"I n t 6 4 I n d e x ( [   3 0 0 0 ,     6 3 5 0 ,     2 9 5 9 ,     4 2 2 6 ,     7 0 9 9 ,     2 5 7 1 ,     6 5 3 9 ,   4 8 3 9 4 ,     7 4 3 8 , 
                         2 6 6 6 2 ,     1 1 3 6 ,     2 6 9 2 ,     2 7 6 2 ,     6 3 7 7 ,   2 6 7 7 6 ,     6 0 1 6 ,     7 3 6 1 ,     2 3 2 4 , 
                           8 9 6 1 ,     4 8 8 6 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
14726,750 2542 1199 2700 3052 4027 1682 3160 32587 3527 7361 4034 4262 6502 2712 3481 2916 1584 5445 1729
14876,2542 1090 7147 4979 5618 33794 2502 1673 1246 33166 1653 48394 4235 8874 8622 4720 4975 3176 6870 48774
14896,3949 1748 1997 1199 1275 5618 1584 1625 2692 1220 2194 8961 1610 1101 1645 2021 741 1274 3703 2232
14911,2324 1206 1228 1673 5377 4027 1267 1952 3317 1204 910 3083 5878 4235 1449 5991 1259 247 2797 39183
14968,2194 2012 2985 2011 5816 8360 2353 1275 2137 62 2294 1674 2641 8368 2268 1231 3527 3175 6333 3671
9841,2502 4011 8665 3949 48394 2692 8784 8368 2706 1258 58559 1682 30707 2542 778 1732 7143 40815 7090 4027
13507,7153 6016 2542 2502 750 48394 46578 48780 55820 5445 4262 6502 56367 8961 3275 7147 5618 3481 3897 1921
15030,7153 5349 8636 6333 4963 6365 8961 33493 44191 8360 32587 5378 51662 4886 48516 8368 6874 40815 45499 5989
15044,6016 5377 30749 3911 6870 8665 5669 3949 8464 48385 1199 44199 5013 8622 4014 36517 2329 37741 8368 4848
15047,2710 1307 1345 2291 2572 1380 1777 1982 1127 1092 2424 1271 3176 70 1513 2918 2881 1350 2841 2694
15075,1258 1682 6502 5418 3527 70 1961 3081 2916 48780 48774 2712 33493 19 7147 2011 8961 46578 5218 8665
15099,4963 5418 5445 6539 5989 6711 1222 8636 6377 2502 4027 3897 33166 4886 2916 3147 4262 6502 3994 3481
15131,2324 913 5060 1276 1219 953 36 969 3114 1259 497 1732 1199 246 8961 1220 2791 7361 2918 1172
5377,3527 1233 6539 3000 2019 2194 3300 7090 1262 4027 1304 5459 1249 1274 1320 3702 7143 8665 1690 4223
15245,3949 1732 4034 4848 6711 5902 1673 4979 4027 8874 44191 3481 2890 33794 8798 3897 3275 1247 4235 3994
14361,1079 6377 4011 4886 6365 16 778 8360 474 1092 1183 1485 7438 4034 1408 5378 1674 32587 1266 5218
15282,7438 5618 1208 2542 3000 32587 4848 741 1274 29 3160 4979 3052 5902 7090 4034 1682 1080 6539 6333
15315,48780 4878 6708 4720 6565 48385 30810 3418 7451 38061 52973 58559 2501 6003 2572 8950 30822 2329 6380 3175
15351,1222 46578 1653 8874 1573 2115 50872 34405 47610 38061 3527 2916 2712 4848 46976 353 8464 35836 33679 6807
7479,1252 235 903 912 1077 3911 909 1947 953 1219 2186 8949 3683 1234 1254 2987 1953 955 1208 1641
15430,6539 44191 8636 6333 33493 5378 4011 45722 48780 45499 2329 40815 5502 1485 48385 41569 1079 2167 33166 19
15444,7361 46578 1223 1259 32587 1206 30707 6016 551 1641 30749 44195 30793 6218 1090 7438 2918 8464 8622 3418
15445,48774 33794 8949 30707 5902 4034 2542 54286 2502 4979 7153 8464 8961 46976 3481 4262 56782 38061 35836 44199
15453,7153 6365 6874 4886 8360 32587 33493 7438 6934 49272 8644 7143 48516 51662 4022 6378 3147 1917 3623 7254
15456,32587 8360 4886 4878 6333 8798 30707 6016 2291 474 1258 16 1722 4027 1676 3897 2797 1220 51662 6502
15511,4973 1732 6016 4027 2692 4979 1219 16 1682 6870 1247 48516 1625 4235 3147 1997 1228 5989 4239 7147
15521,46578 1230 1263 337 4308 3948 44195 2000 5225 2076 2019 2278 2427 8874 5388 1288 2908 39292 5954 2001
15553,6377 6539 4973 6874 8360 33794 7438 8636 8368 6711 4995 6333 5349 5618 5989 7147 4963 5418 5816 8784
15574,1517 2003 5445 720 2321 3175 4963 5618 3448 3977 3033 594 1380 1339 2918 3418 7147 235 2324 3527
15578,3114 778 3147 2115 7361 1732 520 6365 104 5418 2918 6333 8368 7147 1208 1101 5378 410 48516 2502
15592,2355 3363 4995 3147 2944 1997 1302 2150 6565 4855 6870 30707 1028 1276 3098 1953 1307 3699 1391 6934
15679,1517 1682 1961 3948 2353 353 442 2174 8665 2194 1625 32587 1584 1356 33493 1220 3408 1246 1258 7143
15717,1208 1304 1247 1358 912 300 1276 1266 1259 1784 2395 2324 1307 2268 1206 3421 235 2871 3006 1732
8407,51662 48394 8636 6333 55820 45722 46578 48385 2502 4022 2542 51255 33166 1748 2700 7143 8874 1356 1573 1258
15774,3114 2081 5618 1282 2355 3000 912 8636 2291 2018 2692 661 2761 2161 1223 4027 32587 3034 3052 1653
15838,1732 1206 2700 4027 4886 5618 1288 2916 1500 2918 2692 7361 8961 3000 3114 1485 4896 741 1274 1356
15851,33794 4963 48516 49272 6377 5349 778 6333 8636 48780 48394 1208 8360 58559 2502 46578 33166 7147 8874 3275
16014,1215 3114 6016 2948 2791 1261 198 5218 58 235 6934 2011 4720 3082 1263 2944 1953 2140 2710 1960
16022,6377 5218 3948 1961 8622 5377 2 8784 4034 6218 6378 45722 4848 6502 2054 4027 2712 2329 30749 1101
16079,44191 6537 5502 55820 48385 7361 4975 5956 1608 4720 46578 3527 56367 30707 2115 7090 2000 2273 4270 1208
16089,6377 4973 6539 6016 8665 2692 16 2706 2324 2542 1259 35836 1206 1246 2599 1584 33493 5902 2291 1653
16101,5816 4995 1682 6874 3114 44191 32587 7438 2355 2617 7254 1485 3948 1356 6537 51662 6373 2706 45499 104
16109,1179 5299 4308 1955 5669 348 3983 6953 8622 3504 3083 345 866 1953 2194 48385 8961 4029 4235 2539
16133,1234 2871 1263 1095 3363 162 246 5902 720 1276 1127 306 3317 6874 1235 994 307 4995 29 348
16146,4886 2692 1307 2712 1028 1088 8360 1777 5995 2115 11 4370 5902 345 1387 3253 266 6870 2502 236
16168,913 2064 2804 1285 3424 1641 1245 1242 1172 1278 1183 29 1175 1090 1284 1374 2406 930 337 1674
12039,1777 5418 4018 3753 3717 5989 4896 2006 5816 1784 2797 2791 520 8665 2763 1954 4995 3301 1377 2302
16298,4886 1653 6539 1961 3081 2502 7361 2761 2294 661 1517 1307 1748 2617 4034 17 1994 899 3994 5989
16371,920 1207 912 1682 8360 969 48 4022 8961 4963 1220 508 1262 17 3751 2407 783 1204 2321 1271
16372,6874 4011 6711 7438 1201 3751 1148 1266 1246 2671 2706 1653 5378 1954 1219 2617 1485 4308 4014 2001
16433,353 2005 1967 1748 2617 2140 2291 2021 2916 1517 1485 1374 104 1259 2918 1777 3300 3489 6365 180
16494,594 1080 33794 3052 235 2797 923 1610 1777 720 1356 1212 2012 11 8368 1285 933 1029 353 5060
16635,33493 5378 5502 40815 7143 4995 3408 41566 3994 33166 34048 48385 48774 48394 4011 8376 8798 44665 4344 3275
15013,6874 7438 4878 7361 6016 33794 1222 48394 46578 58559 51662 54286 56367 48385 6711 1732 1208 1206 49530 51255
16712,1387 5418 8961 1203 1252 1084 8360 1267 1278 1283 1246 1302 2019 3363 954 1584 899 2948 2949 2268
16716,4308 1374 4246 4014 6333 1278 3916 5995 3006 4641 4973 2599 30749 4720 7143 40819 35836 2395 8622 1356
16759,2115 8784 1500 6539 8665 1079 1954 1380 1387 6863 4878 1288 908 508 2804 48774 1183 8376 48394 3911
16865,32587 1080 3160 1407 1247 5995 6502 44191 1230 4720 3408 5418 4246 2012 3253 920 1225 4886 4975 6953
9172,1517 1080 1573 1206 104 7438 2167 1377 1784 1645 2710 551 2001 1997 1608 1222 1729 1961 410 1641
16916,832 1625 7153 62 112 70 5349 180 1641 8636 3175 8961 6874 1248 353 2291 1284 376 2186 2355
16982,1732 2542 2692 4262 5618 1961 70 1199 4027 6502 1220 1320 3052 16 353 4720 3147 1653 4995 1225
17057,4011 5445 1784 4995 2000 7361 33493 1485 2194 2617 1222 3623 2058 2918 6934 4022 353 3994 6378 8798
8136,1127 48780 1597 1320 1690 33166 1408 48394 11 1876 163 2291 41569 5254 2640 49530 832 2288 1266 2002
17227,1288 750 44665 6016 40815 30793 47610 2174 49530 1278 8798 8376 8644 3253 34048 53996 1079 33004 41566 3275
17229,4973 6365 3949 2291 6934 30707 3994 6711 8644 6016 1610 4262 48394 1954 1206 1259 2167 1101 4034 904
17258,5418 32587 1485 1544 1784 3527 6378 2006 3114 3408 51662 2985 1127 1876 1653 5459 1391 48780 33166 4011
17281,6539 8360 5218 33794 5418 6365 5445 1517 1282 32587 1961 3623 3753 6934 1954 2087 2706 48 1220 44191
17354,1225 1084 910 1204 1276 1259 1235 246 2324 2174 6711 922 1784 953 1960 1104 1956 5669 909 2947
17367,1307 1090 508 1641 1610 2324 1674 2355 3471 2194 778 3253 1954 1242 1231 2329 1208 3418 2706 337
17373,3006 44195 1199 2529 3730 1212 1954 922 1945 2289 474 800 162 2908 5617 2064 1245 2501 45950 1372
17381,908 904 913 1207 903 2019 7153 1247 1203 1204 1225 1219 1267 1250 4973 2502 1222 922 8961 6874
17413,2455 1212 4361 1284 3363 930 2948 2872 2944 1256 1262 3504 1269 954 1961 745 928 1103 1203 1028
17417,3081 48516 7143 1653 8798 2273 7458 3717 8360 741 44199 2542 36529 4896 145 3535 1339 5816 47610 30793
17453,8961 3114 6874 1282 7438 1035 33493 48394 5418 5445 6365 5989 8874 51662 661 720 4011 50872 6934 3147
17478,3683 2000 1253 2804 4085 902 1944 3307 3702 3365 1348 2303 2132 3022 1237 1517 2788 3175 1251 2951
17556,8360 2353 1610 6874 6373 3717 44191 1544 7254 3751 2058 5991 2081 48516 2987 33166 1597 368 1517 8529
17560,1230 1732 2791 2502 1060 7361 1307 1449 3421 6870 2248 5991 1278 8961 1961 3751 2321 1080 4896 6218
17605,2194 1299 1204 3101 2352 54286 1608 969 2302 2359 48780 912 1259 750 2243 3671 2791 1960 2013 509
17662,1258 32587 48516 44191 6874 7438 2710 2706 7153 49272 48394 33166 1407 48774 58559 48385 5679 56367 8874 33493
17684,32587 2329 6874 4878 7438 778 4011 2542 33794 1222 48516 1028 7361 1206 48780 6016 6502 58559 55820 4262
17726,2329 44191 6365 4878 3147 1732 7147 48780 51662 2916 778 8644 2115 8874 5816 4022 2012 3949 6016 30707
15397,1259 1266 2194 1682 508 3481 48516 6502 1199 1748 6711 2115 4973 2692 235 2791 923 2455 1060 2890
7538,7153 33794 5418 8665 51662 8874 6711 7147 54286 3275 4027 55820 4262 4022 35836 3897 104 4034 8368 1653
17868,1784 508 36 2011 1302 2353 350 1259 2194 3175 494 1208 1234 805 3623 1129 1358 3101 628 1262
18018,6874 7438 4878 6539 1206 5445 2502 49272 5618 2692 2542 46578 750 778 4886 8636 58559 54286 7147 8874
18023,4963 5445 1961 4022 4878 5989 1222 1219 8360 1682 4973 49272 3408 2115 1407 1208 8665 33493 1246 48780
18040,32587 4011 2291 48774 1732 8636 58559 33166 1080 1517 2542 8961 1584 7143 1208 2174 2502 8798 44665 51255
12796,1206 4973 2115 5445 2329 1356 7361 3147 1101 2987 2174 3527 6539 4011 2985 5618 1748 2692 1320 1080
18163,4886 1641 1961 2599 4027 2918 3911 2355 2248 1784 1230 7153 4246 3897 497 1188 3967 1358 1500 720
18168,1259 8961 2329 5989 3408 1968 2797 508 4886 1222 1610 56367 2268 6870 8360 1674 36 1234 44195 1962
13451,48516 594 953 1207 46578 48780 35836 49272 923 56367 55820 34162 104 48385 33679 54286 3114 48394 40819 904
18242,2329 33794 7361 44191 6539 4973 3949 49272 1206 8961 1222 2542 5418 51662 6377 8874 8636 6365 4995 6333
1173,"I n t 6 4 I n d e x ( [   4 0 4 1 ,     5 2 6 6 ,     2 4 2 4 ,     2 0 0 2 ,     2 7 0 7 ,       6 4 8 ,     2 9 1 6 ,       9 0 8 ,     4 0 1 8 , 
                             5 8 9 ,     1 5 5 2 ,     5 9 5 4 ,     6 0 1 6 ,     1 8 9 2 ,   4 7 6 1 0 ,       4 4 0 ,     1 0 6 1 ,   4 1 9 9 7 , 
                             2 9 2 ,     1 9 5 3 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
18274,4011 48385 6016 3949 35836 41997 5679 1225 8970 2692 2355 37729 8957 2617 2011 3052 34162 46723 4022 52973
18300,6874 4886 7361 32587 2329 8636 5349 44191 5445 4878 33493 8368 48780 46578 48394 1222 6365 40815 45722 2355
18323,2329 1206 6016 33794 2542 778 48394 8961 4034 7147 5989 5995 30707 30749 3481 6377 5902 1246 2502 56367
18330,5445 4995 2502 5989 6365 3948 1682 4878 4973 3897 4022 8961 8636 4896 7361 4027 3977 32587 5378 2700
5688,1370 6333 8636 5349 6365 3623 44665 33493 3275 6934 45722 7254 41569 5378 6537 1275 912 2115 53996 56367
18351,32587 49272 44191 33794 2329 51662 6874 7438 4995 55820 56367 48394 44195 48385 6365 3948 2502 49530 6378 51255
6235,33794 32587 7153 8961 49272 6377 7438 33166 8360 5989 33493 48780 1682 35836 1080 51662 48394 1387 58559 55820
3098,300 4963 41997 969 48394 3948 529 920 1101 50872 3386 4361 832 6863 3101 3039 2728 8464 2890 5502
18542,4011 2542 51662 8961 44195 3949 1968 48385 778 1148 3052 2692 3275 50872 1288 1206 33166 745 750 38061
18557,2791 3052 1968 508 5445 44191 5459 1246 4995 2804 4011 3527 4571 3977 3275 34048 7458 58559 4896 5816
18561,7361 46578 48394 2329 4878 48385 51255 6711 3147 30707 1222 40815 35836 46976 30749 8874 3949 7147 7143 2542
18634,922 6870 8961 3160 2987 1244 1201 1283 3424 2010 5445 969 37741 40819 1199 306 32587 3176 5418 2712
18654,914 58 11 1674 1101 1233 5989 1088 904 1028 36 908 4027 6942 8961 1957 5445 4886 1252 1954
18774,4034 3948 1080 4308 3897 1092 1517 2324 2353 1968 2617 1645 2918 3114 4370 2006 778 5669 1777 2321
18790,4995 6333 2268 6365 7438 8360 1625 5378 3114 2353 2000 7143 508 1653 32587 4034 7361 2710 6934 1259
18838,7361 2329 5418 4878 8665 48780 8360 48394 1206 54286 4886 33493 1222 48774 48385 3147 55820 7147 6333 4027
18846,44191 54286 33493 2329 48774 8360 7361 8644 7254 56367 4878 51255 8798 40815 41569 36529 34162 8368 6378 54272
7095,1258 778 4011 1625 1407 5669 5989 2542 1653 1219 5418 2710 6016 3535 1732 48516 44191 4262 1729 16
18862,2324 4027 4963 1376 62 337 6870 1358 33794 4878 4011 48780 2115 1372 8784 44191 32587 48394 1370 442
18917,6874 32587 7438 2502 33794 5349 44191 3147 4995 49272 4022 6333 4886 1222 8665 48780 58559 3994 5378 5989
15546,6377 8961 44191 2329 49272 3147 2706 4973 6333 8368 51662 2502 58559 40815 2918 7147 30707 2012 56367 1222
19018,2019 903 922 912 904 2012 2186 1206 1219 908 4848 2712 5618 19 750 1284 307 930 1080 3030
15301,1259 104 2572 2502 350 3617 805 2804 2541 49272 5816 4299 3082 5378 7153 1225 420 2699 6333 2005
19041,33794 49272 46578 58559 8961 16 8636 30707 3897 48385 48394 8798 59315 1608 1653 1370 46976 51255 50872 6333
19075,58559 59315 7361 40815 8874 35836 6539 4878 36529 60069 38061 30749 41569 34162 41566 6016 30707 6377 8644 8360
19098,2353 4878 4027 1608 4975 2291 46578 3755 4262 4370 6378 2617 30749 1673 48774 2194 2006 55820 1597 1206
16550,1584 4963 5989 48516 5816 2012 4878 7147 2011 1917 48780 46578 1784 8874 6711 51662 35836 41566 1961 8798
19129,8636 6333 6874 7361 7438 8368 5418 5816 2502 4995 5989 4896 8665 33493 4878 3114 6365 5618 2918 7147
19156,5349 6333 2355 1653 5445 3527 2 1917 1282 8636 3751 1544 2140 1274 4022 5218 2005 8961 1215 1967
19300,4995 1968 2324 2006 497 1569 3418 6365 1641 2268 5991 3948 44191 2001 1225 7143 41566 1552 2763 1517
19418,1732 778 3949 2019 1222 1729 5902 903 1252 5669 1199 7361 923 904 3481 4262 1884 1148 32587 3000
19470,6377 6539 8961 1682 1610 2329 3114 3147 1784 6874 4963 1517 2502 745 5445 2918 5349 1625 1961 7438
19552,3424 1228 2700 1945 5669 2010 112 3504 39292 3949 353 6870 5995 8622 30707 1203 1921 1217 40819 30749
4828,1653 1208 1080 2291 1320 1690 1732 2193 4262 172 4848 8874 48516 2194 29 3698 49272 51662 163 2140
19579,2058 2406 1266 8636 4022 54286 1060 3275 3052 3210 912 1257 1201 70 30707 51255 6373 49530 1912 7254
19583,7153 1275 2058 3703 2019 904 4855 1250 1466 5445 1252 32587 1645 2490 912 1204 3147 1261 1653 1234
19592,1387 1784 920 1101 2174 3147 1380 2406 1088 1028 914 1339 899 2791 2005 1092 1645 2302 1127 628
19601,32587 44191 8961 7361 49272 6874 7438 6539 48780 4878 2918 51662 46578 8874 5418 48774 6333 56367 33493 51255
341,"I n t 6 4 I n d e x ( [ 1 0 7 3 ,   1 6 1 7 ,   7 1 4 7 ,   1 5 0 0 ,   1 3 0 7 ,   1 6 3 9 ,   4 9 7 3 ,     5 5 1 ,     6 4 8 ,   4 2 4 6 ,   8 9 4 9 , 
                         3 0 3 3 ,   1 0 6 0 ,   3 7 5 1 ,   3 0 8 2 ,   2 4 2 4 ,   1 5 2 7 ,   6 8 7 0 ,   2 5 9 9 ,   1 5 9 7 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
